Reference, Value, Footprint, Datasheet
"J24","F1","","~"
"Q11","Q_NMOS_GDS","","~"
"R95","100","","~"
"D25","Schottky","","~"
"J30","F2","","~"
"Q15","Q_NMOS_GDS","","~"
"R101","100","","~"
"D31","Schottky","","~"
"J36","F3","","~"
"J14","Conn_02x03_Odd_Even","","~"
"J20","Conn_02x03_Odd_Even","","~"
"J26","Conn_02x03_Odd_Even","","~"
"J32","Conn_02x03_Odd_Even","","~"
"Q4","Q_NMOS_GDS","","~"
"R84","100","","~"
"D14","Schottky","","~"
"J19","F4","","~"
"Q8","Q_NMOS_GDS","","~"
"R90","100","","~"
"D20","Schottky","","~"
"J25","F5","","~"
"Q12","Q_NMOS_GDS","","~"
"R96","100","","~"
"D26","Schottky","","~"
"J31","F6","","~"
"Q16","Q_NMOS_GDS","","~"
"R102","100","","~"
"D32","Schottky","","~"
"J37","F7","","~"
"J15","Conn_02x03_Odd_Even","","~"
"J21","Conn_02x03_Odd_Even","","~"
"J27","Conn_02x03_Odd_Even","","~"
"J33","Conn_02x03_Odd_Even","","~"
"J42","Conn_01x03","","~"
"D42","LED","","~"
"C192","2.2uF","","~"
"R111","10k","","~"
"R114","2.2k","","~"
"J38","Conn_01x03","","~"
"D35","LED","","~"
"C188","2.2uF","","~"
"R105","10k","","~"
"R107","2.2k","","~"
"J44","Conn_01x03","","~"
"D46","LED","","~"
"C194","2.2uF","","~"
"R116","10k","","~"
"R118","2.2k","","~"
"J46","Conn_01x03","","~"
"D50","LED","","~"
"C196","2.2uF","","~"
"R120","10k","","~"
"R122","2.2k","","~"
"J39","Conn_01x03","","~"
"D36","LED","","~"
"C189","2.2uF","","~"
"R106","10k","","~"
"R108","2.2k","","~"
"J40","Conn_01x03","","~"
"D40","LED","","~"
"C190","2.2uF","","~"
"R109","10k","","~"
"R112","2.2k","","~"
"J43","Conn_01x03","","~"
"D45","LED","","~"
"C193","2.2uF","","~"
"R115","10k","","~"
"R117","2.2k","","~"
"J45","Conn_01x03","","~"
"D49","LED","","~"
"C195","2.2uF","","~"
"R119","10k","","~"
"R121","2.2k","","~"
"J41","Conn_01x03","","~"
"D41","LED","","~"
"C191","2.2uF","","~"
"R110","10k","","~"
"R113","2.2k","","~"
"D33","Schottky","","~"
"D39","Schottky","","~"
"D44","Schottky","","~"
"D48","Schottky","","~"
"D47","Schottky","","~"
"D43","Schottky","","~"
"D37","Schottky","","~"
"D34","Schottky","","~"
"D38","Schottky","","~"
"J47","Conn_01x02","","~"
"R123","4.7k","","~"
"C197","2.2uF","","~"
"D51","S_D","","~"
"D52","S_D","","~"
"J49","Conn_01x02","","~"
"R125","4.7k","","~"
"C199","2.2uF","","~"
"D55","S_D","","~"
"D56","S_D","","~"
"J51","Conn_01x02","","~"
"R127","4.7k","","~"
"C201","2.2uF","","~"
"D59","S_D","","~"
"D60","S_D","","~"
"J53","Conn_01x02","","~"
"R129","4.7k","","~"
"C203","2.2uF","","~"
"D63","S_D","","~"
"D64","S_D","","~"
"J48","Conn_01x02","","~"
"R124","4.7k","","~"
"C198","2.2uF","","~"
"D53","S_D","","~"
"D54","S_D","","~"
"J50","Conn_01x02","","~"
"R126","4.7k","","~"
"C200","2.2uF","","~"
"D57","S_D","","~"
"D58","S_D","","~"
"J52","Conn_01x02","","~"
"R128","4.7k","","~"
"C202","2.2uF","","~"
"D61","S_D","","~"
"D62","S_D","","~"
"J54","Conn_01x02","","~"
"R130","4.7k","","~"
"C204","2.2uF","","~"
"D65","S_D","","~"
"D66","S_D","","~"
"E1_Driver1","TMC2209","",""
"C121","100uF","","~"
"C123","10u","","~"
"C129","100nF","","~"
"C127","100nF","","~"
"C118","100nF","","~"
"C119","22nF","","~"
"C113","100nF","","~"
"C115","4.7uF","","~"
"R51","0R11","","~"
"R53","0R11","","~"
"C131","100nF","","~"
"C125","100nF","","~"
"R49","0R11","","~"
"R47","20k","","~"
"JP13","Stall Detection","","~"
"C133","1nF","","~"
"C135","1nF","","~"
"C137","1nF","","~"
"C139","1nF","","~"
"J8","Conn_01x04","","~"
"E2_Driver1","TMC2209","",""
"C148","100uF","","~"
"C150","10u","","~"
"C156","100nF","","~"
"C154","100nF","","~"
"C144","100nF","","~"
"C145","22nF","","~"
"C140","100nF","","~"
"C142","4.7uF","","~"
"R58","0R11","","~"
"R60","0R11","","~"
"C158","100nF","","~"
"C152","100nF","","~"
"R56","0R11","","~"
"R54","20k","","~"
"JP16","Stall Detection","","~"
"C160","1nF","","~"
"C162","1nF","","~"
"C164","1nF","","~"
"C166","1nF","","~"
"J9","Conn_01x04","","~"
"E3_Driver1","TMC2209","",""
"C120","100uF","","~"
"C122","10u","","~"
"C128","100nF","","~"
"C126","100nF","","~"
"C116","100nF","","~"
"C117","22nF","","~"
"C112","100nF","","~"
"C114","4.7uF","","~"
"R50","0R11","","~"
"R52","0R11","","~"
"C130","100nF","","~"
"C124","100nF","","~"
"R48","0R11","","~"
"R46","20k","","~"
"JP12","Stall Detection","","~"
"C132","1nF","","~"
"C134","1nF","","~"
"C136","1nF","","~"
"C138","1nF","","~"
"J7","Conn_01x04","","~"
"C149","100uF","","~"
"C151","10u","","~"
"C157","100nF","","~"
"C155","100nF","","~"
"C146","100nF","","~"
"C147","22nF","","~"
"C141","100nF","","~"
"C143","4.7uF","","~"
"R59","0R11","","~"
"R61","0R11","","~"
"C159","100nF","","~"
"C153","100nF","","~"
"R57","0R11","","~"
"R55","20k","","~"
"JP17","Stall Detection","","~"
"C161","1nF","","~"
"C163","1nF","","~"
"C165","1nF","","~"
"C167","1nF","","~"
"J10","Conn_01x04","","~"
"JP15","SPREAD_STEALTH","","~"
"JP14","SPREAD_STEALTH","","~"
"JP18","SPREAD_STEALTH","","~"
"E4_Driver1","TMC2209","",""
"JP19","SPREAD_STEALTH","","~"
"C172","100uF","","~"
"C173","10u","","~"
"C176","100nF","","~"
"C175","100nF","","~"
"C170","100nF","","~"
"C171","22nF","","~"
"C168","100nF","","~"
"C169","4.7uF","","~"
"R64","0R11","","~"
"R65","0R11","","~"
"C177","100nF","","~"
"C174","100nF","","~"
"R63","0R11","","~"
"R62","20k","","~"
"JP20","Stall Detection","","~"
"C178","1nF","","~"
"C179","1nF","","~"
"C180","1nF","","~"
"C181","1nF","","~"
"J11","Conn_01x04","","~"
"E5_Driver1","TMC2209","",""
"JP21","SPREAD_STEALTH","","~"
